id,rna_value_breast,study_id,Log2FoldChangeValue,Contrast,Log_RNA_Value_Breast
ENSG00000118193,16.0,E-GEOD-52194,5.4,'triple-negative breast cancer; breast carcinoma' vs 'normal',2.833213344056216
ENSG00000118193,16.0,E-GEOD-52194,5.3,'HER2 Positive Breast Carcinoma; breast carcinoma' vs 'normal',2.833213344056216
ENSG00000118193,16.0,E-GEOD-54002,3.1,'breast cancer' vs 'normal',2.833213344056216
ENSG00000243977,5.0,,,,1.791759469228055
ENSG00000228789,10.0,,,,2.3978952727983707
ENSG00000162398,4.0,,,,1.6094379124341003
ENSG00000186567,436.0,,,,6.07993319509559
ENSG00000171303,267.0,,,,5.5909869805108565
ENSG00000108179,2078.0,E-GEOD-38959,1.2,'breast cancer; breast' vs 'normal; breast',7.639642287858013
ENSG00000176124,102.0,,,,4.634728988229636
ENSG00000204262,5711.0,E-GEOD-38959,1.2,'breast cancer; breast' vs 'normal; breast',8.65032450401942
ENSG00000204262,5711.0,E-GEOD-10780,1.4,'breast carcinoma' vs 'normal',8.65032450401942
ENSG00000204262,5711.0,E-GEOD-54002,3.0,'breast cancer' vs 'normal',8.65032450401942
ENSG00000204262,5711.0,E-GEOD-44408,-2.8,'lymph node metastasis' vs 'unaffected lymph node' at 'metastatic at presentation',8.65032450401942
ENSG00000129422,5549.0,E-GEOD-44408,-1.7,'lymph node metastasis' vs 'unaffected lymph node' at 'metastatic at presentation',8.62155320674048
ENSG00000272578,138.0,,,,4.9344739331306915
ENSG00000237945,101.0,,,,4.624972813284271
ENSG00000223784,2.0,,,,1.0986122886681098
ENSG00000151893,3044.0,,,,8.021256180143997
ENSG00000163288,1.0,E-GEOD-68086,-5.3,'breast carcinoma' vs 'normal',0.6931471805599453
ENSG00000246223,52.0,,,,3.970291913552122
ENSG00000080224,8.0,,,,2.1972245773362196
ENSG00000163083,3329.0,E-GEOD-54002,-1.5,'breast cancer' vs 'normal',8.110727582974489
ENSG00000163083,3329.0,E-GEOD-10780,-1.2,'breast carcinoma' vs 'normal',8.110727582974489
ENSG00000163083,3329.0,E-MTAB-779,-1.7,'breast carcinoma' vs 'normal',8.110727582974489
ENSG00000163083,3329.0,E-GEOD-20086,1.4,'breast cancer' vs 'normal',8.110727582974489
ENSG00000163083,3329.0,E-GEOD-38959,-2.1,'breast cancer; breast' vs 'normal; breast',8.110727582974489
ENSG00000186297,0.0,E-GEOD-52194,5.0,'triple-negative breast cancer; breast carcinoma' vs 'normal',0.0
ENSG00000186297,0.0,E-GEOD-20086,-3.0,'breast cancer' vs 'normal',0.0
ENSG00000186297,0.0,E-GEOD-68086,-5.8,'breast carcinoma' vs 'normal',0.0
ENSG00000168785,478.0,,,,6.171700597410915
ENSG00000198791,2281.0,,,,7.732807530422021
ENSG00000166823,225.0,,,,5.420534999272286
ENSG00000196876,82.0,,,,4.418840607796598
ENSG00000228253,83330.0,,,,11.330575907784267
ENSG00000250366,2.0,,,,1.0986122886681098
ENSG00000126883,3524.0,,,,8.16763571524637
ENSG00000277258,1476.0,E-GEOD-44408,-1.3,'lymph node metastasis' vs 'unaffected lymph node' at 'metastatic at presentation',7.29776828253138
ENSG00000225968,107.0,,,,4.68213122712422
ENSG00000120616,2296.0,,,,7.739359202689098
ENSG00000148377,1.0,,,,0.6931471805599453
ENSG00000152270,1273.0,,,,7.149916836132109
ENSG00000143816,264.0,,,,5.579729825986222
ENSG00000008517,842.0,E-GEOD-44408,1.9,'lymph node metastasis' vs 'unaffected lymph node' at 'metastatic at presentation',6.736966958001855
ENSG00000229558,5.0,,,,1.791759469228055
ENSG00000010319,5725.0,E-MTAB-779,-1.6,'breast carcinoma' vs 'normal',8.65277248565806
ENSG00000010319,5725.0,E-GEOD-38959,-1.4,'breast cancer; breast' vs 'normal; breast',8.65277248565806
ENSG00000010319,5725.0,E-GEOD-10780,-1.4,'breast carcinoma' vs 'normal',8.65277248565806
ENSG00000104313,22.0,,,,3.1354942159291497
ENSG00000177519,7.0,,,,2.0794415416798357
ENSG00000161055,60.0,E-GEOD-54002,-2.1,'breast cancer' vs 'normal',4.110873864173311
ENSG00000161055,60.0,E-GEOD-38959,-1.5,'breast cancer; breast' vs 'normal; breast',4.110873864173311
ENSG00000161055,60.0,E-GEOD-10780,-2.0,'breast carcinoma' vs 'normal',4.110873864173311
ENSG00000161055,60.0,E-GEOD-52194,-8.0,'triple-negative breast cancer; breast carcinoma' vs 'normal',4.110873864173311
ENSG00000161055,60.0,E-GEOD-52194,-5.2,'non-triple-negative breast cancer; breast carcinoma' vs 'normal',4.110873864173311
ENSG00000178732,4.0,,,,1.6094379124341003
ENSG00000133124,1.0,,,,0.6931471805599453
ENSG00000104889,347.0,,,,5.8522024797744745
ENSG00000102878,1536.0,,,,7.337587743538596
ENSG00000183773,50.0,,,,3.9318256327243257
ENSG00000109674,3.0,E-GEOD-54002,1.8,'breast cancer' vs 'normal',1.3862943611198906
ENSG00000106952,50.0,,,,3.9318256327243257
ENSG00000233608,1558.0,E-GEOD-10780,-1.2,'breast carcinoma' vs 'normal',7.351799869057777
ENSG00000233608,1558.0,E-GEOD-20086,-1.3,'breast cancer' vs 'normal',7.351799869057777
ENSG00000080854,80.0,,,,4.394449154672439
ENSG00000158014,20.0,,,,3.044522437723423
ENSG00000125845,417.0,E-GEOD-44408,1.3,'lymph node metastasis' vs 'unaffected lymph node' at 'metastatic at presentation',6.035481432524756
ENSG00000125845,417.0,E-GEOD-52194,-4.9,'non-triple-negative breast cancer; breast carcinoma' vs 'normal',6.035481432524756
ENSG00000182379,26.0,,,,3.295836866004329
ENSG00000279050,5.0,,,,1.791759469228055
ENSG00000115602,715.0,,,,6.573680166960646
ENSG00000173530,560.0,E-GEOD-54002,-1.7,'breast cancer' vs 'normal',6.329720905522696
ENSG00000173530,560.0,E-GEOD-52194,-5.5,'HER2 Positive Breast Carcinoma; breast carcinoma' vs 'normal',6.329720905522696
ENSG00000173530,560.0,E-GEOD-52194,-5.6,'non-triple-negative breast cancer; breast carcinoma' vs 'normal',6.329720905522696
ENSG00000161649,5718.0,E-MTAB-779,-1.9,'breast carcinoma' vs 'normal',8.651549243915316
ENSG00000161649,5718.0,E-GEOD-52194,-5.2,'HER2 Positive Breast Carcinoma; breast carcinoma' vs 'normal',8.651549243915316
ENSG00000161649,5718.0,E-GEOD-10780,-1.8,'breast carcinoma' vs 'normal',8.651549243915316
ENSG00000206561,184.0,,,,5.220355825078324
ENSG00000241684,243.0,E-GEOD-54002,-2.5,'breast cancer' vs 'normal',5.497168225293202
ENSG00000241684,243.0,E-GEOD-31138,-3.2,'invasive ductal carcinoma' vs 'normal',5.497168225293202
ENSG00000184845,13.0,,,,2.6390573296152584
ENSG00000229637,0.0,,,,0.0
ENSG00000230838,0.0,,,,0.0
ENSG00000248859,0.0,,,,0.0
ENSG00000132964,562.0,E-GEOD-38959,1.3,'breast cancer; breast' vs 'normal; breast',6.333279628139691
ENSG00000111186,171.0,,,,5.147494476813453
ENSG00000172461,16.0,,,,2.833213344056216
ENSG00000104044,16.0,E-GEOD-44408,1.4,'lymph node metastasis' vs 'unaffected lymph node' at 'metastatic at presentation',2.833213344056216
ENSG00000168936,2137.0,,,,7.6676260915849905
ENSG00000104059,10.0,,,,2.3978952727983707
ENSG00000198734,76.0,,,,4.343805421853684
ENSG00000110324,957.0,E-GEOD-44408,2.0,'lymph node metastasis' vs 'unaffected lymph node' at 'metastatic at presentation',6.86484777797086
ENSG00000227124,316.0,,,,5.75890177387728
ENSG00000152457,374.0,,,,5.926926025970411
ENSG00000166407,2.0,,,,1.0986122886681098
ENSG00000143196,11281.0,,,,9.330963814299922
ENSG00000167074,1549.0,,,,7.346010209913293
ENSG00000085382,937.0,,,,6.843749949006225
ENSG00000120937,5.0,,,,1.791759469228055
ENSG00000249917,2.0,,,,1.0986122886681098
ENSG00000206384,170.0,E-MTAB-779,-1.8,'breast carcinoma' vs 'normal',5.14166355650266
ENSG00000206384,170.0,E-GEOD-10780,-1.9,'breast carcinoma' vs 'normal',5.14166355650266
ENSG00000133740,369.0,,,,5.91350300563827
ENSG00000174306,3267.0,E-MTAB-779,-1.2,'breast carcinoma' vs 'normal',8.091933455979893
ENSG00000148704,0.0,E-GEOD-52194,4.9,'HER2 Positive Breast Carcinoma; breast carcinoma' vs 'normal',0.0
ENSG00000148704,0.0,E-GEOD-52194,5.1,'triple-negative breast cancer; breast carcinoma' vs 'normal',0.0
ENSG00000156427,57.0,,,,4.060443010546419
ENSG00000156509,14.0,,,,2.70805020110221
ENSG00000271447,464.0,,,,6.142037405587356
ENSG00000108001,1375.0,,,,7.226936018493289
ENSG00000167977,880.0,,,,6.78105762593618
ENSG00000169618,19.0,,,,2.995732273553991
ENSG00000113263,212.0,E-GEOD-44408,3.3,'lymph node metastasis' vs 'unaffected lymph node' at 'metastatic at presentation',5.3612921657094255
ENSG00000174038,5.0,E-GEOD-68086,-4.9,'breast carcinoma' vs 'normal',1.791759469228055
ENSG00000103510,2418.0,,,,7.791109510610028
ENSG00000156925,0.0,,,,0.0
ENSG00000169194,3.0,,,,1.3862943611198906
ENSG00000166342,28.0,,,,3.367295829986474
ENSG00000197992,16.0,,,,2.833213344056216
ENSG00000251442,22.0,,,,3.1354942159291497
ENSG00000148482,2.0,,,,1.0986122886681098
ENSG00000233016,2043.0,,,,7.622663951323595
ENSG00000169442,156.0,E-GEOD-44408,2.2,'lymph node metastasis' vs 'unaffected lymph node' at 'metastatic at presentation',5.056245805348308
ENSG00000172139,13.0,,,,2.6390573296152584
ENSG00000145451,7.0,,,,2.0794415416798357
ENSG00000147082,24.0,,,,3.2188758248682006
ENSG00000240520,2.0,,,,1.0986122886681098
ENSG00000167984,183.0,,,,5.214935757608986
ENSG00000165269,6458.0,E-MTAB-779,-1.3,'breast carcinoma' vs 'normal',8.773229786032473
ENSG00000117425,335.0,,,,5.817111159963204
ENSG00000116521,2378.0,,,,7.774435510302958
ENSG00000135976,525.0,,,,6.26530121273771
ENSG00000100911,3195.0,,,,8.069655306886165
ENSG00000226856,3.0,,,,1.3862943611198906
ENSG00000197959,330.0,,,,5.802118375377063
ENSG00000151012,66.0,E-GEOD-31138,2.4,'invasive ductal carcinoma' vs 'normal',4.204692619390966
ENSG00000151012,66.0,E-GEOD-7377,1.8,'benign hyperplastic enlarged lobular unit' vs 'normal terminal duct lobular unit',4.204692619390966
ENSG00000122176,5688.0,E-MTAB-779,-1.5,'breast carcinoma' vs 'normal',8.646289764750648
ENSG00000122176,5688.0,E-GEOD-38959,-1.5,'breast cancer; breast' vs 'normal; breast',8.646289764750648
ENSG00000246430,91.0,,,,4.5217885770490405
ENSG00000258366,77.0,,,,4.356708826689592
ENSG00000116473,3587.0,,,,8.185350223178686
ENSG00000204610,0.0,E-GEOD-52194,5.5,'triple-negative breast cancer; breast carcinoma' vs 'normal',0.0
ENSG00000259156,0.0,,,,0.0
ENSG00000176204,4.0,,,,1.6094379124341003
ENSG00000196917,722.0,E-GEOD-38959,-2.5,'breast cancer; breast' vs 'normal; breast',6.583409222158765
ENSG00000143878,31402.0,E-GEOD-44408,-1.2,'lymph node metastasis' vs 'unaffected lymph node' at 'metastatic at presentation',10.35465870873383
ENSG00000187266,803.0,,,,6.6895992691789665
ENSG00000138741,24.0,,,,3.2188758248682006
ENSG00000202566,3.0,,,,1.3862943611198906
ENSG00000162976,1303.0,,,,7.1731917424865985
ENSG00000233521,8.0,,,,2.1972245773362196
ENSG00000249669,1738.0,E-GEOD-10780,-1.4,'breast carcinoma' vs 'normal',7.461065514354283
ENSG00000249669,1738.0,E-GEOD-54002,-3.2,'breast cancer' vs 'normal',7.461065514354283
ENSG00000249669,1738.0,E-GEOD-38959,-4.0,'breast cancer; breast' vs 'normal; breast',7.461065514354283
ENSG00000142627,1524.0,E-GEOD-54002,-1.6,'breast cancer' vs 'normal',7.329749689041512
ENSG00000142627,1524.0,E-GEOD-7377,-1.3,'benign hyperplastic enlarged lobular unit' vs 'normal terminal duct lobular unit',7.329749689041512
ENSG00000142627,1524.0,E-GEOD-52194,-4.8,'non-triple-negative breast cancer; breast carcinoma' vs 'normal',7.329749689041512
ENSG00000099910,948.0,,,,6.855408798609928
ENSG00000187720,701.0,E-GEOD-38959,-3.4,'breast cancer; breast' vs 'normal; breast',6.553933404025811
ENSG00000242366,0.0,E-GEOD-68086,-5.5,'breast carcinoma' vs 'normal',0.0
ENSG00000112309,137.0,,,,4.927253685157205
ENSG00000212907,63739.0,,,,11.062567587971328
ENSG00000167461,919.0,,,,6.824373670043086
ENSG00000133142,4194.0,E-GEOD-44408,-1.3,'lymph node metastasis' vs 'unaffected lymph node' at 'metastatic at presentation',8.341648618901306
ENSG00000159110,723.0,,,,6.584791392385716
ENSG00000185432,7418.0,E-GEOD-54002,-1.5,'breast cancer' vs 'normal',8.911799556189527
ENSG00000185432,7418.0,E-MTAB-779,-1.3,'breast carcinoma' vs 'normal',8.911799556189527
ENSG00000185432,7418.0,E-GEOD-10780,-1.2,'breast carcinoma' vs 'normal',8.911799556189527
ENSG00000254709,48.0,,,,3.8918202981106265
ENSG00000154342,2.0,,,,1.0986122886681098
ENSG00000160588,541.0,E-GEOD-54002,-1.4,'breast cancer' vs 'normal',6.295266001439646
ENSG00000075420,5324.0,,,,8.580167990577626
ENSG00000143919,196.0,,,,5.2832037287379885
ENSG00000179101,0.0,,,,0.0
ENSG00000205221,1044.0,E-MTAB-779,-1.4,'breast carcinoma' vs 'normal',6.951772164398911
ENSG00000205221,1044.0,E-GEOD-38959,-1.4,'breast cancer; breast' vs 'normal; breast',6.951772164398911
ENSG00000205221,1044.0,E-GEOD-20086,-1.9,'breast cancer' vs 'normal',6.951772164398911
ENSG00000280997,2.0,,,,1.0986122886681098
ENSG00000105428,0.0,,,,0.0
ENSG00000138798,202.0,E-GEOD-54002,-2.1,'breast cancer' vs 'normal',5.313205979041787
ENSG00000138798,202.0,E-GEOD-7377,-3.1,'benign hyperplastic enlarged lobular unit' vs 'normal terminal duct lobular unit',5.313205979041787
ENSG00000249231,0.0,,,,0.0
ENSG00000168505,0.0,,,,0.0
ENSG00000168032,103.0,,,,4.6443908991413725
ENSG00000233818,10.0,,,,2.3978952727983707
ENSG00000132429,17.0,,,,2.8903717578961645
ENSG00000258441,1100.0,,,,7.00397413672268
ENSG00000171889,1.0,,,,0.6931471805599453
ENSG00000174442,343.0,,,,5.840641657373398
ENSG00000285972,0.0,,,,0.0
ENSG00000177426,2312.0,,,,7.746300662231439
ENSG00000149654,6.0,,,,1.9459101490553132
ENSG00000115461,39539.0,,,,10.585068096724608
ENSG00000160224,11.0,,,,2.4849066497880004
ENSG00000181374,48.0,E-GEOD-68086,-5.1,'breast carcinoma' vs 'normal',3.8918202981106265
ENSG00000152580,1046.0,E-GEOD-10780,-1.1,'breast carcinoma' vs 'normal',6.953684210870537
ENSG00000152580,1046.0,E-MTAB-779,-1.4,'breast carcinoma' vs 'normal',6.953684210870537
ENSG00000148842,508.0,,,,6.2324480165505225
ENSG00000198785,41.0,,,,3.7376696182833684
ENSG00000133105,3.0,,,,1.3862943611198906
ENSG00000004838,54.0,,,,4.007333185232471
ENSG00000075886,12.0,,,,2.5649493574615367
ENSG00000119138,12034.0,E-MTAB-779,-1.6,'breast carcinoma' vs 'normal',9.395574350217172
ENSG00000119138,12034.0,E-GEOD-10780,-1.3,'breast carcinoma' vs 'normal',9.395574350217172
ENSG00000241566,0.0,,,,0.0
ENSG00000207607,0.0,,,,0.0
ENSG00000113327,0.0,E-GEOD-52194,5.2,'triple-negative breast cancer; breast carcinoma' vs 'normal',0.0
ENSG00000118495,3580.0,E-MTAB-779,-1.5,'breast carcinoma' vs 'normal',8.183397369998433
ENSG00000118495,3580.0,E-GEOD-54002,-2.9,'breast cancer' vs 'normal',8.183397369998433
ENSG00000118495,3580.0,E-GEOD-10780,-1.7,'breast carcinoma' vs 'normal',8.183397369998433
ENSG00000118495,3580.0,E-GEOD-7377,-3.3,'benign hyperplastic enlarged lobular unit' vs 'normal terminal duct lobular unit',8.183397369998433
ENSG00000113318,615.0,,,,6.423246963533519
ENSG00000182165,288.0,,,,5.666426688112432
ENSG00000130844,1635.0,,,,7.400009517162692
ENSG00000138039,27.0,,,,3.332204510175204
ENSG00000266714,10471.0,,,,9.256460307589736
ENSG00000198355,6392.0,,,,8.762958920766726
ENSG00000168418,6.0,E-GEOD-52194,5.6,'triple-negative breast cancer; breast carcinoma' vs 'normal',1.9459101490553132
ENSG00000185483,258.0,,,,5.556828061699537
ENSG00000254369,58.0,E-GEOD-38959,-3.7,'breast cancer; breast' vs 'normal; breast',4.07753744390572
ENSG00000162576,7714.0,E-GEOD-44408,-1.4,'lymph node metastasis' vs 'unaffected lymph node' at 'metastatic at presentation',8.950921764797261
ENSG00000213401,0.0,E-GEOD-52194,4.9,'non-triple-negative breast cancer; breast carcinoma' vs 'normal',0.0
ENSG00000241721,0.0,,,,0.0
ENSG00000156970,37.0,E-GEOD-54002,2.6,'breast cancer' vs 'normal',3.6375861597263857
ENSG00000156970,37.0,E-GEOD-10780,1.6,'breast carcinoma' vs 'normal',3.6375861597263857
ENSG00000177133,96.0,,,,4.574710978503383
ENSG00000160973,7.0,,,,2.0794415416798357
ENSG00000159248,0.0,,,,0.0
ENSG00000212296,4.0,,,,1.6094379124341003
ENSG00000140612,5457.0,,,,8.604837701268284
ENSG00000175691,188.0,,,,5.241747015059643
ENSG00000119048,3742.0,,,,8.22764270790443
ENSG00000051341,33.0,E-GEOD-54002,1.7,'breast cancer' vs 'normal',3.5263605246161616
ENSG00000051341,33.0,E-GEOD-52194,5.1,'HER2 Positive Breast Carcinoma; breast carcinoma' vs 'normal',3.5263605246161616
ENSG00000169469,6.0,,,,1.9459101490553132
ENSG00000250742,651.0,E-GEOD-38959,-1.1,'breast cancer; breast' vs 'normal; breast',6.480044561926653
ENSG00000183888,34.0,E-MTAB-779,1.9,'breast carcinoma' vs 'normal',3.5553480614894135
ENSG00000183888,34.0,E-GEOD-38959,-2.2,'breast cancer; breast' vs 'normal; breast',3.5553480614894135
ENSG00000229927,3.0,,,,1.3862943611198906
ENSG00000198885,250.0,,,,5.5254529391317835
ENSG00000007314,3082.0,E-MTAB-779,-1.5,'breast carcinoma' vs 'normal',8.03365842788615
ENSG00000238097,1.0,,,,0.6931471805599453
ENSG00000183032,26.0,,,,3.295836866004329
ENSG00000143297,38.0,E-GEOD-52194,5.2,'triple-negative breast cancer; breast carcinoma' vs 'normal',3.6635616461296463
ENSG00000143297,38.0,E-GEOD-52194,6.0,'HER2 Positive Breast Carcinoma; breast carcinoma' vs 'normal',3.6635616461296463
ENSG00000185551,6135.0,,,,8.721928343047091
ENSG00000241644,525.0,,,,6.26530121273771
ENSG00000136110,0.0,,,,0.0
ENSG00000258839,262.0,,,,5.572154032177765
ENSG00000181274,369.0,,,,5.91350300563827
ENSG00000064995,1309.0,,,,7.177782416195197
ENSG00000173334,1703.0,,,,7.440733707389261
ENSG00000198223,299.0,E-GEOD-44408,1.4,'lymph node metastasis' vs 'unaffected lymph node' at 'metastatic at presentation',5.703782474656201
ENSG00000136688,0.0,,,,0.0
ENSG00000124721,2.0,E-GEOD-52194,5.0,'triple-negative breast cancer; breast carcinoma' vs 'normal',1.0986122886681098
ENSG00000116001,4970.0,,,,8.511376306094673
ENSG00000163823,185.0,,,,5.225746673713202
ENSG00000186897,4.0,,,,1.6094379124341003
ENSG00000125813,2.0,,,,1.0986122886681098
ENSG00000169071,484.0,,,,6.184148890937483
ENSG00000135919,629.0,,,,6.4457198193855785
ENSG00000169933,6.0,,,,1.9459101490553132
ENSG00000116032,73.0,,,,4.30406509320417
ENSG00000198797,23.0,,,,3.1780538303479458
ENSG00000231234,12.0,,,,2.5649493574615367
ENSG00000159199,1355.0,,,,7.212294468500341
ENSG00000171241,53.0,,,,3.9889840465642745
ENSG00000121067,2599.0,,,,7.8632667240095735
ENSG00000200816,0.0,,,,0.0
ENSG00000132581,1315.0,,,,7.182352111885263
ENSG00000117148,0.0,E-GEOD-68086,-5.5,'breast carcinoma' vs 'normal',0.0
ENSG00000117148,0.0,E-GEOD-52194,6.8,'triple-negative breast cancer; breast carcinoma' vs 'normal',0.0
ENSG00000117148,0.0,E-GEOD-52194,5.7,'HER2 Positive Breast Carcinoma; breast carcinoma' vs 'normal',0.0
ENSG00000111875,460.0,E-GEOD-31138,2.8,'invasive ductal carcinoma' vs 'normal',6.133398042996649
ENSG00000163492,48.0,,,,3.8918202981106265
ENSG00000178184,445.0,,,,6.100318952020064
ENSG00000255774,0.0,E-GEOD-52194,4.5,'non-triple-negative breast cancer; breast carcinoma' vs 'normal',0.0
ENSG00000170577,91.0,E-GEOD-54002,1.7,'breast cancer' vs 'normal',4.5217885770490405
ENSG00000251562,28025.0,E-GEOD-52194,5.3,'HER2 Positive Breast Carcinoma; breast carcinoma' vs 'normal',10.240887929730164
ENSG00000251562,28025.0,E-GEOD-52194,5.0,'non-triple-negative breast cancer; breast carcinoma' vs 'normal',10.240887929730164
ENSG00000213246,2155.0,,,,7.6760099320288875
ENSG00000071991,157.0,,,,5.062595033026967
ENSG00000205795,75.0,,,,4.330733340286331
ENSG00000171119,18.0,,,,2.9444389791664403
ENSG00000170209,50.0,,,,3.9318256327243257
ENSG00000169679,34.0,E-GEOD-38959,1.1,'breast cancer; breast' vs 'normal; breast',3.5553480614894135
ENSG00000169679,34.0,E-GEOD-54002,2.8,'breast cancer' vs 'normal',3.5553480614894135
ENSG00000159261,6.0,E-GEOD-68086,-5.2,'breast carcinoma' vs 'normal',1.9459101490553132
ENSG00000168404,1311.0,,,,7.179307969504034
ENSG00000143801,739.0,,,,6.606650186198215
ENSG00000139842,4630.0,,,,8.440528106480752
ENSG00000198089,1560.0,,,,7.353081920515432
ENSG00000110900,177.0,,,,5.181783550292085
ENSG00000244242,268.0,,,,5.594711379601839
ENSG00000108688,0.0,,,,0.0
ENSG00000158089,76.0,,,,4.343805421853684
ENSG00000160193,383.0,,,,5.950642552587727
ENSG00000109099,9710.0,E-MTAB-779,-1.2,'breast carcinoma' vs 'normal',9.181014542594355
ENSG00000132386,25312.0,,,,10.139073376740225
ENSG00000175611,144.0,,,,4.976733742420574
ENSG00000225614,198.0,,,,5.293304824724492
ENSG00000275152,57.0,,,,4.060443010546419
ENSG00000276293,4086.0,,,,8.315566483564277
ENSG00000185129,1645.0,,,,7.406103381237015
